N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float,m,is_reference_M,reference_error_at_max_M,excess_ratio_to_max_M,log10_excess_ratio_to_max_M
25,11,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,0.952320593701259074269901461814376123591630407847185379399018977681080726686249991031727353,0.9523205937012591,"['(-0.625425020612444371561006122249072513560924846634363567553503577026767710979079832685430841 + 0.716039514467788025939789049058064980947055482293950668281942475707200465875983092116854627j)', '(-0.625425020612444371561006122249072513560924846634363567553503577026767710979079832685430841 - 0.716039514467788025939789049058064980947055482293950668281942475707200465875983092116854627j)']",5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.019085831717152175,49.89673008828961,1.6980720856806366
25,11,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,1.28981934120125586968734752837294723376222595328468475343289659831744527178711342567322597,1.289819341201256,['1.29222252503041803338363659087294723376222595328468475343289659831744527178711342567322597'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.027420372787403408,47.038723769422404,1.672455530172326
25,11,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,1.43166666288410983118561497455987345120718887024390566449024290370041718749710970351795647,1.43166666288411,['1.43322873237306523758820286518487345120718887024390566449024290370041718749710970351795647'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.9984379305110446,1.4339065245160707,0.15652084086452508
25,11,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,,,
25,11,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,,,
25,11,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,,,
25,11,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,,,
25,12,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.110877674241936172612845477202454002767556154504980956222686247381094894949448808433354409,0.11087767424193617,['0.539122325758063827387154522797545997232443845495019043777313752618905105050551191566645591'],5.21808941985656841057538557811903778088433668644270407607176326354486910016705773764981963,5.218089419856568,-13,False,2.5770275436851143e-17,4302541294664728.5,15.633725047264319
25,12,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.0618667430978269330769052861859277793223508104729654799557353650404827810065432225990623173,0.061866743097826936,['0.484366743097826933076905286185927779322350810472965479955735365040482781006543222599062317'],5.21808941985656841057538557811903778088433668644270407607176326354486910016705773764981963,5.218089419856568,-13,False,1.8022102324530408e-15,34328260923043.54,13.535651802532753
25,12,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.3,0.3,"['4.65564950126993412146241203052368948419880060295158369591844701934660348808309360557396098e-181', '4.50061751784697527769632463305459363534079712458532434924219077740969547002206251230328065e-181']",5.21808941985656841057538557811903778088433668644270407607176326354486910016705773764981963,5.218089419856568,-13,False,1.1724304465661102e-16,2558787183313597.0,15.408034166717199
25,12,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.274625,0.274625,['9.55847938684594768517941254917832904945223845187876375967913536575646201637066827214887388e-182'],5.21808941985656841057538557811903778088433668644270407607176326354486910016705773764981963,5.218089419856568,-13,False,8.057554706811674e-13,340829209347.8909,11.532536807089429
25,12,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.17850625,0.17850625,['7.8554103258770383519734061536814064479714362006533123420955257348530644013571361801681464e-182'],5.21808941985656841057538557811903778088433668644270407607176326354486910016705773764981963,5.218089419856568,-13,False,8.184178948885144e-12,21811137209.349052,10.338678309818478
25,12,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,0.1160290625,0.1160290625,['1.63981684184784635640411674124693841391474034938291605637111347733188285394003444805501918e-182'],5.21808941985656841057538557811903778088433668644270407607176326354486910016705773764981963,5.218089419856568,-13,False,6.62355497104339e-09,17517641.660294436,7.243475638198461
25,12,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,0.09,0.09,"['-3.44834355849679378520354945250042060436206842540646363920875499235895020850944287633166283e-182', '-5.18948062583799454301934904744749596423320464812078164783950233614289294680191919136975018e-182']",5.21808941985656841057538557811903778088433668644270407607176326354486910016705773764981963,5.218089419856568,-13,False,2.1854527107602267e-07,411813.9896456181,5.6147010958582575
25,12,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,0.075418890625,0.075418890625,['-8.24526317899911010982673131724766275505409926997580507001735226128856007754021158795606422e-182'],5.21808941985656841057538557811903778088433668644270407607176326354486910016705773764981963,5.218089419856568,-13,False,4.790126681055497e-07,157446.54713052715,5.197133140815041
25,12,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,0.04902227890625,0.04902227890625,['-1.70252128408296312227078110966234621606274722807448847874323856563120868520795178474626837e-181'],5.21808941985656841057538557811903778088433668644270407607176326354486910016705773764981963,5.218089419856568,-13,False,9.815685335661921e-05,499.4279790952995,2.6984728688649944
