N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float,m,is_reference_M,reference_error_at_max_M,excess_ratio_to_max_M,log10_excess_ratio_to_max_M
6,36,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.00000714264223622027887320653311185957983371986183726567621611714486384258429071730644315369887,7.142642236220279e-06,['0.649992857357763779721126793466888140420166280138162734323783882855136157415709282693556846'],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,7.142642236220279e-06,1.0,0.0
6,36,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.0488924497757210225611191565713529431533463798754493615070489225946304536781552840993562551,0.04889244977572102,['(0.405828236300356229807144174500781475757893108719262806497331807002488852808275315955549069 + 0.0459622012115895395534124734862099149086523193199730516034787071933798958743231919804612592j)'],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,0.04889244977572102,1.0,0.0
6,36,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.0722125972397613583512364038483306406228694362316983571657742119817678569522059746379513511,0.07221259723976135,"['(0.331039407607637567874809352638404389363228009077560559844234663798559565761301000304072671 - 0.0652013372215549029097646628014605988347721424505473929749856272180301620726792389834449667j)', '(0.331039407607637567874809352638404389363228009077560559844234663798559565761301000304072671 + 0.0652013372215549029097646628014605988347721424505473929749856272180301620726792389834449667j)']",5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,0.07221259723976135,1.0,0.0
6,36,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.139020909060118570477720324166365537543938179510245222598596276752218001093067735065414339,0.13902090906011857,['(0.405828236300356229807144174500781475757893108719262806497331807002488852808275315955549069 - 0.0459622012115895395534124734862099149086523193199730516034787071933798958743231919804612592j)'],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,0.13902090906011857,1.0,0.0
6,36,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.82149375,0.82149375,['1.0'],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,0.82149375,1.0,0.0
6,36,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
