map_label,target_mode,N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,0.00075179216532706447917154296437387217174923829230781123802518122561262088964768660164686636,0.0007517921653270645,"['0.0898261441263216715559588197136356706544854074510010452588713308718353515209339502361784196', '0.0892482078346729355208284570356261278282507617076921887619748187743873791103523133983531336']",8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,0.00284516691101501336526124872574339444787722509284296453079883196057514646095372273647688569,0.0028451669110150135,['0.0782640575360150133652612487257433944478772250928429645307988319605751464609537227364768857'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,0.00687704262910355246666776299696857857517589014101079000509514733640557120195019255595429253,0.006877042629103552,['0.0558993215353535524666677629969685785751758901410107900050951473364055712019501925559542925'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,0.0216512354847592176842733603799308163793204996274552058757247374245847906958548728373907115,0.021651235484759217,['(0.0372000494701469601127069611076993947422584464236747824919664530855400900637399162641959666 - 0.0209835104356133838449416375106423979353054203327579020348411627676394152892005241997256454j)'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,0.0267120868148542794893779244716389250495197929321122684934074986207707531112829341942239969,0.02671208681485428,"['(0.0372000494701469601127069611076993947422584464236747824919664530855400900637399162641959666 + 0.0209835104356133838449416375106423979353054203327579020348411627676394152892005241997256454j)', '(0.0450024508863542930921506768766517387559529803242277453567803893276743306163911460943694307 + 0.019734420287627234310842692768836698563044942317833647665038922558194462349633899819570974j)']",8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,0.0303650138097817785166253436068407593998752510343685469825064773175433781491298254111966265,0.03036501380978178,['(0.0074041274400414663188282100755423869431431163162937167565088636987970038637769132023576666 + 0.027293532411049890131874956116871510440874554391665846446133197986463775838385771523039507j)'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,0.0279578922337208874187262555495257471911356725851735262316897842395291396235420188972516442,0.027957892233720888,['(0.0074041274400414663188282100755423869431431163162937167565088636987970038637769132023576666 - 0.027293532411049890131874956116871510440874554391665846446133197986463775838385771523039507j)'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,0.0307961212499128874959268424128510368356594894700069126318089063118018420742656524466233622,0.030796121249912888,['(0.0123521036580644934130958952633150679534361290145892173310075285478752686881413426667878231 + 0.0305848258914523967464792561390631963815881297083194649255203487968559046109182192865863609j)'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,0.0418477983352589784156481565620546999867677546833216176224112667844326620059492300711726968,0.04184779833525898,"['(0.0123521036580644934130958952633150679534361290145892173310075285478752686881413426667878231 - 0.0305848258914523967464792561390631963815881297083194649255203487968559046109182192865863609j)', '(0.0450024508863542930921506768766517387559529803242277453567803893276743306163911460943694307 - 0.019734420287627234310842692768836698563044942317833647665038922558194462349633899819570974j)']",8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,0.994311990936894287109375,0.9943119909368943,['1.0'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
