name,mode,coefficient_present,coefficient_frobenius_upper,residual_frobenius_upper,coefficient_sha256,precision_bits
alpha^14,5,True,162786855.73058388,3.8487926669803067e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,6,True,29301682.484377284,3.464192552346268e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,7,True,5274311.495094575,5.993640595607905e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,8,True,949377.6521757696,5.789041460090267e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,9,True,170888.28299796468,3.8588637950275155e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,10,True,30759.93832647144,3.930485758546567e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,11,True,5536.798720717743,7.695057587554435e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,12,True,996.62514392221,3.756837608691695e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,13,True,179.43548109951846,3.647105626958568e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,14,True,32.291031646817075,4.5914727840878615e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,15,True,5.808332778736393,5.271241573408882e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,16,True,1.0453804359455148,3.000992635409705e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,17,True,0.18514095636482159,4.315586098823819e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,18,True,0.03322327804974098,3.543249884904344e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,19,False,5e-324,1.6036579799546237e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^15,-23,True,4.193557349455525e-06,1.3648494119099e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-22,True,5.35575852694491e-06,8.23791317236235e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-21,True,3.4911165083193336e-06,1.1410820080172502e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-20,True,5.166158890423252e-06,8.200472923507537e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-19,True,4.311709691829895e-06,1.2305504587123811e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-18,True,3.1722624936128634e-06,7.356263615839643e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-17,True,4.16062826767259e-06,2.795317858530075e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-16,True,4.9987528067919805e-06,1.095144448658559e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-15,True,3.317361676629664e-06,1.1533110860418232e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-14,True,3.966193587755854e-06,8.102870080540432e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-13,True,2.8552850182687226e-06,1.2169734916785848e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-12,True,3.136358167324832e-06,8.647804025476521e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-11,True,3.837739451327943e-06,8.926087658047792e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-10,True,3.310436980561058e-06,8.62586265711829e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-9,True,5.821336139558785e-06,1.5706992294728126e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-8,True,4.098702799548206e-06,1.1451765275115924e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-7,True,3.7753507702002363e-06,1.2558672976627868e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-6,True,4.009054732625007e-06,9.122810926347925e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-5,True,4.699386394919728e-06,1.1402187956008954e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-4,True,3.4139053742822236e-06,8.365780830307802e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-3,True,4.725187574586344e-06,1.1091456635911818e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-2,True,88.50438831965597,7.819586805384026e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,-1,True,21490122936.621643,3.79854491278126e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,0,True,6339929226.044609,1.3439676732520788e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,1,True,1390062028.3900237,1.125608934796634e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
