theta,branch,weighted_kernel,K_tail,phi_abs
0.21475731030398978,0,1.0732948072031154e-24,,
0.22089323345553233,1,1.7246182700376528e-210,4.474583818566637e-210,0.38542540266685793
0.22089323345553233,2,1.2142325013456085e-24,1.963035852758646e-24,0.6185483060022835
0.22089323345553233,0,1.2142325013456085e-24,,
0.2270291566070749,1,8.254324291825558e-210,2.146066031835726e-209,0.3846258302110528
0.2270291566070749,2,1.377540652301154e-24,2.223462845221312e-24,0.6195474123895427
0.2270291566070749,0,1.377540652301154e-24,,
0.23316507975861747,1,3.909019456329423e-209,1.0184983076114049e-208,0.3838022534860077
0.23316507975861747,2,1.5671136597794584e-24,2.5252682725968624e-24,0.6205731394106161
0.23316507975861747,0,1.5671136597794584e-24,,
0.23930100291016004,1,1.8312986119485245e-208,4.78202595032905e-208,0.38295455335672385
0.23930100291016004,2,1.7875691367584578e-24,2.8756374312976154e-24,0.621625354192106
0.23930100291016004,0,1.7875691367584578e-24,,
0.2454369260617026,1,8.485261676065461e-208,2.220792401595306e-207,0.3820826147446323
0.2454369260617026,2,2.0443877211405618e-24,3.2830815485912934e-24,0.6227039112134661
0.2454369260617026,0,2.0443877211405618e-24,,
0.2515728492132452,1,3.8877494076245545e-207,1.0199078848248827e-206,0.3811863272624937
0.2515728492132452,2,2.3440804995835627e-24,3.757691550432671e-24,0.6238086517009782
0.2515728492132452,0,2.3440804995835627e-24,,
0.25770877236478773,1,1.761055354709315e-206,4.631119460049252e-206,0.3802655858699413
0.25770877236478773,2,2.6943895046780545e-24,4.31144122395218e-24,0.6249394030259287
0.25770877236478773,0,2.6943895046780545e-24,,
0.2638446955163303,1,7.885093673501135e-206,2.0787429117746327e-205,0.37932029154916486
0.2638446955163303,2,3.1045278025643884e-24,4.958549345643823e-24,0.6260959781093584
0.2638446955163303,0,3.1045278025643884e-24,,
0.2699806186678729,1,3.4891518920402523e-205,9.22201307226286e-205,0.3783503520001082
0.2699806186678729,2,3.585466936440835e-24,5.715912142772821e-24,0.6272781748358897
0.2699806186678729,0,3.585466936440835e-24,,
0.2761165418194154,1,1.5255795537423276e-204,4.042815903086092e-204,0.37735568235441375
0.2761165418194154,2,4.150280962918255e-24,6.603619564425868e-24,0.6284857754792676
0.2761165418194154,0,4.150280962918255e-24,,
0.28225246497095796,1,6.589878304427466e-204,1.7510614713622297e-203,0.37633620590720335
0.28225246497095796,2,4.814558047003442e-24,7.645571305620858e-24,0.629718546142377
0.28225246497095796,0,4.814558047003442e-24,,
0.28838838812250056,1,2.811744890392503e-203,7.492155382373613e-203,0.37529185486562955
0.28838838812250056,2,5.5968926050836574e-24,8.870211402351345e-24,0.63097623621462
0.28838838812250056,0,5.5968926050836574e-24,,
0.2945243112740431,1,1.1848455915211946e-202,3.1661521323990757e-202,0.37422257111296997
0.2945243112740431,2,6.519473343980651e-24,1.0311403549721238e-23,0.6322585778496567
0.2945243112740431,0,6.519473343980651e-24,,
0.3006602344255857,1,4.930253136397992e-202,1.321329163206992e-201,0.37312830698686744
