map_label,target_mode,N,M,map_name,eig_index,eig,eig_re,eig_im,eig_abs,gram_error,gram_error_float
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,27,0.000428983333404382611714242939376446387439757483593789894019216264909106358229234003961278743,0.00042898333340438263,1.1181143321552185e-182,0.00042898333340438263,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,28,0.00156206948895540640258784171506734504189638120644297373166839513197432410536361544644097122,0.0015620694889554065,6.612113047112463e-181,0.0015620694889554065,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,29,0.000181245458529198423888078613318814141841778423194213772012824419123522536530732575699008043,0.00018124545852919843,2.8520900640064147e-184,0.00018124545852919843,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,30,0.000218699999977482373993093103515714200104293866428216151574093959897132013438750406543867315,0.00021869999997748237,-2.2582478059313116e-181,0.00021869999997748237,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,31,0.000729000000000000004594185712943482991659184365170066760834817713395946330540643475609649373,0.000729,-8.258555348052503e-179,0.000729,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,32,0.00065997435908365918775734436794294394715426308168481917182738825102639545004575638550281201,0.0006599743590836592,1.29068929551252e-178,0.0006599743590836592,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,33,0.0000765751261457027161242187615835704114915076011585155466722098651722068940021959549340082057,7.657512614570272e-05,-1.7738064105637613e-182,7.657512614570272e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,34,0.0000656145993804742602841364712228189770528769385886517768774331719403961504886592572737609837,6.561459938047426e-05,3.965409853058991e-181,6.561459938047426e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,35,0.000278839166713186510164685789855873866277257941506394774984807383863227446929877503009906252,0.0002788391667131865,-1.7612845261032852e-177,0.0002788391667131865,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,36,0.000218699999994232501198352293706935853485182303481008385435536426402683771579528624803141209,0.0002186999999942325,4.1263389830060045e-177,0.0002186999999942325,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,37,0.0000312191316991504976718415451470685419239455308470425030257023154516235446676947186648046338,3.12191316991505e-05,-2.4060469477867415e-181,3.12191316991505e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,38,0.0000269829151981324719826088832221540311542035849231880472023367180027400607032676418904716988,2.698291519813247e-05,1.3101768292100716e-181,2.698291519813247e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,39,(0.0000172477222597030052000063950363439399017571287639531290311610700592070236898494131837577125 - 0.0000103305674087481204243222673839496808462220288600035640352522583958817968374320976170803189j),1.7247722259703006e-05,-1.0330567408748121e-05,2.0104838873627995e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,40,(0.0000172477222597030052000063950363439399017571287639531290311610700592070236898494131837577125 + 0.0000103305674087481204243222673839496808462220288600035640352522583958817968374320976170803189j),1.7247722259703006e-05,1.0330567408748121e-05,2.0104838873627995e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,41,(0.00000680646639756055222709341750161965275928757938120831784252655609468476908419089648077596256 - 0.0000124785112336423966091507471413698456425234149031451289049219212722253507141638740743843263j),6.806466397560552e-06,-1.2478511233642396e-05,1.4214120705455557e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,42,(0.00000680646639756055222709341750161965275928757938120831784252655609468476908419089648077596256 + 0.0000124785112336423966091507471413698456425234149031451289049219212722253507141638740743843263j),6.806466397560552e-06,1.2478511233642396e-05,1.4214120705455557e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,43,0.000117809550230114454743002040813349418463407471627617901239296683981628464514633618034602023,0.00011780955023011445,-1.189997092317584e-176,0.00011780955023011445,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
