N,M,m,name,error,source
80,80,0,alpha^7,1.9838888310528903e-38,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^7,1.134964921775888e-44,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^7,2.275451374912985e-52,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,alpha^8,0.0216512354847592,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^8,1.5226518186342852e-05,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^8,1.1800636782584145e-12,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^8,4.200784043949018e-19,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^8,1.0113986567642448e-24,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^8,1.2421822976938513e-30,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^8,1.6925818547550325e-37,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^8,2.1852550503174666e-42,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^8,4.4716868421599316e-48,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,alpha^9,0.0303650138097817,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^9,0.0002193759299278,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^9,7.220973962775383e-11,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^9,3.3172435852406824e-18,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^9,1.4490367941681617e-23,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^9,2.8061465770008377e-29,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^9,1.9069107920327183e-35,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^9,4.0635124096391135e-41,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^9,1.3883106056721388e-46,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
10,10,0,mu^1,0.0070093495653012,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,mu^1,1.047091589880018e-11,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,mu^1,4.596754020824753e-23,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,mu^1,4.436662140492603e-36,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,mu^1,2.720234974278475e-50,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,mu^1,1.9209252058873336e-65,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,mu^1,2.294289236721426e-81,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,mu^1,6.072394487439015e-98,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,mu^1,4.334516926426964e-115,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,mu^1,9.71563378538771e-133,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
10,10,0,mu^2,0.1181894002093551,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,mu^2,0.000751792165327,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,mu^2,3.111510817280244e-11,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,mu^2,1.610009661412074e-20,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,mu^2,3.629598786115311e-31,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,mu^2,7.419148322078759e-43,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,mu^2,2.178794720454083e-55,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,mu^2,1.2575219740702143e-68,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,mu^2,1.788900089231883e-82,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,mu^2,7.443861860733791e-97,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,mu^3,0.0267120868148542,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,mu^3,7.968348153925567e-05,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,mu^3,1.3072085342629208e-11,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,mu^3,6.369606585992676e-20,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,mu^3,2.1795720199778187e-29,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,mu^3,9.013748392215788e-40,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,mu^3,6.47156991719405e-51,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,mu^3,1.0429551471851231e-62,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,mu^3,4.569811792323042e-75,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,mu^4,0.0418477983352589,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,mu^4,0.0067818801412902,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,mu^4,7.270877062859607e-06,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,mu^4,1.9726083729214016e-12,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,mu^4,3.597608895349404e-20,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,mu^4,6.588975712940083e-29,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,mu^4,1.8388943860594838e-38,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,mu^4,1.0451449746105058e-48,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,mu^4,1.4973351391973565e-59,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,mu^5,0.0063120353414048,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,mu^5,0.0015248154337509,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,mu^5,2.236618618303244e-05,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,mu^5,9.954344544043132e-12,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,mu^5,4.337685758911899e-19,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,mu^5,2.508912270232861e-27,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,mu^5,2.6696470242018064e-36,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,mu^5,6.6199706400975365e-46,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,mu^6,0.0118632724299285,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,mu^6,0.0015230270110231,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,mu^6,0.0003463810432165,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,mu^6,1.1776677288437365e-07,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,mu^6,8.323314918549593e-14,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,mu^6,6.7503602779672656e-21,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,mu^6,9.058482592031107e-29,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,mu^6,2.6111015285513383e-37,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
